CustomerID,Recency,Frequency,Monetary,IsChurned,R_Score,F_Score,M_Score,RFM_Score,Segment
1160,-133,5,15215,0,5,1,4,514,Loyal
1161,422,8,16743,1,4,4,4,444,Loyal
1162,1184,5,7031,1,2,1,1,211,Lost
1163,128,12,22161,0,4,5,5,455,Loyal
1164,842,6,15617,1,3,2,4,324,Others
1165,369,7,9953,1,4,3,2,432,Loyal
1166,1353,5,8348,1,1,1,2,112,Lost
1167,-11,4,7334,0,5,1,1,511,Loyal
1168,-154,8,9103,0,5,4,2,542,VIP
1169,-83,5,7163,0,5,2,1,521,Loyal
1170,-282,2,4258,1,5,1,1,511,Loyal
1171,-328,7,20313,0,5,3,5,535,Loyal
1172,1731,8,17902,1,1,4,4,144,At Risk
1173,241,10,19656,0,4,5,4,454,Loyal
1174,-249,7,9635,0,5,3,2,532,Loyal
1175,798,11,31035,1,3,5,5,355,At Risk
1176,968,9,20926,1,2,4,5,245,At Risk
1177,1019,6,8819,1,2,2,2,222,Lost
1178,183,12,32087,0,4,5,5,455,Loyal
1179,1354,3,7259,1,1,1,1,111,Lost
1180,-67,8,11118,0,5,4,3,543,VIP
1181,-492,6,11543,0,5,2,3,523,Loyal
1182,1483,6,9782,1,1,2,2,122,Lost
1183,278,7,27826,0,4,3,5,435,Loyal
1184,963,7,16791,1,2,3,4,234,At Risk
1185,804,8,17120,1,3,4,4,344,At Risk
1186,-545,10,23544,0,5,5,5,555,VIP
1187,26,7,21240,0,5,3,5,535,Loyal
1188,-2,4,7749,0,5,1,1,511,Loyal
1189,1226,10,15575,1,2,5,4,254,At Risk
1190,512,8,21065,1,4,4,5,445,Loyal
1191,280,2,3737,1,4,1,1,411,Loyal
1192,334,10,11975,0,4,5,3,453,Loyal
1193,539,5,5257,1,3,2,1,321,Others
1194,777,8,25175,1,3,4,5,345,At Risk
1195,687,5,10493,1,3,2,2,322,Others
1196,608,6,9346,1,3,2,2,322,Others
1197,765,6,10945,1,3,2,3,323,Others
1198,724,5,13027,1,3,2,3,323,Others
1199,199,6,10679,0,4,2,2,422,Loyal
1200,-271,7,6390,0,5,3,1,531,Loyal
1201,274,8,17955,0,4,4,4,444,Loyal
1202,820,6,17437,1,3,2,4,324,Others
1203,1540,6,17136,1,1,2,4,124,Lost
1204,795,6,9483,1,3,2,2,322,Others
1205,1212,7,20663,1,2,3,5,235,At Risk
1206,370,6,12958,1,4,2,3,423,Loyal
1207,983,9,26377,1,2,4,5,245,At Risk
1208,1923,5,12151,1,1,2,3,123,Lost
1209,-641,8,6870,0,5,4,1,541,VIP
1210,527,10,33100,1,3,5,5,355,At Risk
1211,617,11,22427,1,3,5,5,355,At Risk
1212,1463,6,14595,1,1,2,4,124,Lost
1213,111,11,10911,0,4,5,3,453,Loyal
1214,946,4,9515,1,2,1,2,212,Lost
1215,1450,7,19790,1,1,3,4,134,At Risk
1216,1277,11,37966,1,2,5,5,255,At Risk
1217,-79,6,18301,0,5,2,4,524,Loyal
1218,2040,7,16909,1,1,3,4,134,At Risk
1219,1201,9,7575,1,2,4,1,241,At Risk
1220,346,8,16793,0,4,4,4,444,Loyal
1221,372,3,4666,1,4,1,1,411,Loyal
1222,835,12,26114,1,3,5,5,355,At Risk
1223,-201,8,8702,0,5,4,2,542,VIP
1224,612,6,11054,1,3,2,3,323,Others
1225,-81,7,11284,0,5,3,3,533,Loyal
1226,188,7,11122,0,4,3,3,433,Loyal
1227,2175,3,4788,1,1,1,1,111,Lost
1228,500,6,11388,1,4,2,3,423,Loyal
1229,-188,8,17717,0,5,4,4,544,VIP
1230,-332,7,882,0,5,3,1,531,Loyal
1231,1012,8,1741,1,2,4,1,241,At Risk
1232,-423,10,17459,0,5,5,4,554,VIP
1233,365,7,12961,0,4,3,3,433,Loyal
1234,-404,9,19276,0,5,5,4,554,VIP
1235,116,4,5816,0,4,1,1,411,Loyal
1236,319,7,14049,0,4,3,3,433,Loyal
1237,755,3,6284,1,3,1,1,311,Others
1238,1492,2,2898,1,1,1,1,111,Lost
1239,25,3,8280,0,5,1,2,512,Loyal
1240,1183,7,14929,1,2,3,4,234,At Risk
1241,-160,9,21691,0,5,5,5,555,VIP
1242,766,8,16413,1,3,4,4,344,At Risk
1243,1093,4,14311,1,2,1,3,213,Lost
1244,469,4,9789,1,4,1,2,412,Loyal
1245,1457,7,11438,1,1,3,3,133,At Risk
1246,1056,4,10462,1,2,1,2,212,Lost
1247,62,7,5402,0,5,3,1,531,Loyal
1248,1057,8,16717,1,2,4,4,244,At Risk
1249,1520,3,6718,1,1,1,1,111,Lost
1250,1183,5,10491,1,2,2,2,222,Lost
1251,-219,9,15746,0,5,5,4,554,VIP
1252,-328,10,12407,0,5,5,3,553,VIP
1253,1427,8,11263,1,1,4,3,143,At Risk
1254,2132,5,10382,1,1,2,2,122,Lost
1255,348,6,6989,0,4,2,1,421,Loyal
1256,1044,8,26621,1,2,4,5,245,At Risk
1257,9,6,500,0,5,2,1,521,Loyal
1258,283,3,5272,0,4,1,1,411,Loyal
1259,1824,4,8331,1,1,1,2,112,Lost
1260,737,11,26186,1,3,5,5,355,At Risk
1261,169,8,10504,0,4,4,2,442,Loyal
1262,2071,5,14253,1,1,2,3,123,Lost
1263,1173,7,6682,1,2,3,1,231,At Risk
1264,-423,10,15754,0,5,5,4,554,VIP
1265,680,5,12327,1,3,2,3,323,Others
1266,392,10,27801,1,4,5,5,455,Loyal
1267,1188,10,9469,1,2,5,2,252,At Risk
1268,-116,11,43821,0,5,5,5,555,VIP
1269,314,9,11941,0,4,5,3,453,Loyal
1270,-198,6,6095,0,5,2,1,521,Loyal
1271,1697,7,16639,1,1,3,4,134,At Risk
1272,479,5,8693,1,4,2,2,422,Loyal
1273,1210,5,8139,1,2,2,2,222,Lost
1274,1289,11,26914,1,2,5,5,255,At Risk
1275,1403,5,4272,1,1,2,1,121,Lost
1276,-360,5,3616,0,5,2,1,521,Loyal
1277,167,8,12415,0,4,4,3,443,Loyal
1278,502,4,11233,1,4,1,3,413,Loyal
1279,532,9,14260,1,3,5,3,353,At Risk
1280,-698,9,28794,0,5,5,5,555,VIP
1281,1379,8,23206,1,1,4,5,145,At Risk
1282,1856,6,13273,1,1,2,3,123,Lost
1283,406,5,11273,1,4,2,3,423,Loyal
1284,780,1,2211,1,3,1,1,311,Others
1285,1846,5,10598,1,1,2,2,122,Lost
1286,1443,3,5175,1,1,1,1,111,Lost
1287,1415,5,9061,1,1,2,2,122,Lost
1288,186,9,10777,0,4,5,2,452,Loyal
1289,213,6,2054,0,4,2,1,421,Loyal
1290,1151,9,25452,1,2,5,5,255,At Risk
1291,515,7,14825,1,3,3,4,334,At Risk
1292,36,5,10023,0,5,2,2,522,Loyal
1293,393,10,22988,1,4,5,5,455,Loyal
1294,1831,7,9650,1,1,3,2,132,At Risk
1295,476,7,8744,1,4,3,2,432,Loyal
1296,1822,5,8936,1,1,2,2,122,Lost
1297,841,3,9078,1,3,1,2,312,Others
1298,287,7,7864,0,4,3,2,432,Loyal
1299,773,10,500,1,3,5,1,351,At Risk
1300,354,4,6435,0,4,1,1,411,Loyal
1301,-159,3,8571,0,5,1,2,512,Loyal
1302,1902,5,3502,1,1,2,1,121,Lost
1303,485,8,8918,1,4,4,2,442,Loyal
1304,482,5,10988,1,4,2,3,423,Loyal
1305,883,5,19637,1,3,2,4,324,Others
1306,1217,9,8832,1,2,5,2,252,At Risk
1307,-74,6,5713,0,5,2,1,521,Loyal
1308,262,9,20286,0,4,5,4,454,Loyal
1309,862,5,14517,1,3,2,4,324,Others
1310,197,7,10723,0,4,3,2,432,Loyal
1311,1105,7,5487,1,2,3,1,231,At Risk
1312,1943,4,9301,1,1,1,2,112,Lost
1313,1731,8,19689,1,1,4,4,144,At Risk
1314,154,9,30005,0,4,5,5,455,Loyal
1315,1285,12,29912,1,2,5,5,255,At Risk
1316,1452,9,23589,1,1,5,5,155,At Risk
1317,350,4,7213,0,4,1,1,411,Loyal
1318,670,7,26817,1,3,3,5,335,At Risk
1319,1369,4,6805,1,1,1,1,111,Lost
1320,-396,7,10787,0,5,3,2,532,Loyal
1321,521,10,33571,1,3,5,5,355,At Risk
1322,1085,6,5365,1,2,2,1,221,Lost
1323,-102,3,1843,0,5,1,1,511,Loyal
1324,729,9,18807,1,3,5,4,354,At Risk
1325,1199,10,19986,1,2,5,4,254,At Risk
1326,-136,6,10974,0,5,2,3,523,Loyal
1327,1467,8,21963,1,1,4,5,145,At Risk
1328,538,8,10550,1,3,4,2,342,At Risk
1329,710,3,6144,1,3,1,1,311,Others
1330,48,6,10379,0,5,2,2,522,Loyal
1331,836,3,3994,1,3,1,1,311,Others
1332,2348,10,19536,1,1,5,4,154,At Risk
1333,1119,11,29033,1,2,5,5,255,At Risk
1334,437,7,25132,1,4,3,5,435,Loyal
1335,1491,7,17041,1,1,3,4,134,At Risk
1336,419,14,1636,1,4,5,1,451,Loyal
1337,847,11,21685,1,3,5,5,355,At Risk
1338,88,6,12224,0,5,3,3,533,Loyal
1339,1360,9,24319,1,1,5,5,155,At Risk
1340,2233,8,17108,1,1,4,4,144,At Risk
1341,-67,8,23518,0,5,4,5,545,VIP
1342,1991,6,13762,1,1,3,3,133,At Risk
1343,-103,5,15845,0,5,2,4,524,Loyal
1344,294,7,11696,0,4,3,3,433,Loyal
1345,1910,5,10541,1,1,2,2,122,Lost
1346,1935,8,20959,1,1,4,5,145,At Risk
1347,1085,5,7854,1,2,2,2,222,Lost
1348,805,7,9852,1,3,3,2,332,At Risk
1349,1548,6,9167,1,1,3,2,132,At Risk
1350,602,6,8628,1,3,3,2,332,At Risk
1351,-104,4,9567,0,5,1,2,512,Loyal
1352,1907,5,3119,1,1,2,1,121,Lost
1353,1035,11,9163,1,2,5,2,252,At Risk
1354,1149,9,30573,1,2,5,5,255,At Risk
1355,1049,3,4368,1,2,1,1,211,Lost
1356,191,8,17200,0,4,4,4,444,Loyal
1357,-672,3,2649,0,5,1,1,511,Loyal
1358,256,7,14494,0,4,3,4,434,Loyal
1359,1837,7,10225,1,1,3,2,132,At Risk
1360,1724,4,3310,1,1,1,1,111,Lost
1361,1033,4,12010,1,2,1,3,213,Lost
1362,469,12,34643,1,4,5,5,455,Loyal
1363,100,8,15355,0,5,4,4,544,VIP
1364,449,9,24746,1,4,5,5,455,Loyal
1365,487,8,27419,1,4,4,5,445,Loyal
1366,201,4,10262,0,4,1,2,412,Loyal
1367,934,5,11798,1,2,2,3,223,Lost
1368,1329,5,10746,1,2,2,2,222,Lost
1369,1776,7,17409,1,1,3,4,134,At Risk
1370,1773,6,10362,1,1,3,2,132,At Risk
1371,-490,12,21510,0,5,5,5,555,VIP
1372,-147,11,25719,0,5,5,5,555,VIP
1373,474,6,9867,1,4,3,2,432,Loyal
1374,211,2,3451,1,4,1,1,411,Loyal
1375,1314,6,12000,1,2,3,3,233,At Risk
1376,-164,5,14314,0,5,2,3,523,Loyal
1377,1205,5,5752,1,2,2,1,221,Lost
1378,809,8,20555,1,3,4,5,345,At Risk
1379,469,10,25938,1,4,5,5,455,Loyal
1380,586,5,12946,1,3,2,3,323,Others
1381,1523,7,9764,1,1,3,2,132,At Risk
1382,1394,7,5113,1,1,3,1,131,At Risk
1383,206,6,14518,0,4,3,4,434,Loyal
1384,1214,9,19265,1,2,5,4,254,At Risk
1385,2164,7,19272,1,1,3,4,134,At Risk
1386,176,5,7372,0,4,2,1,421,Loyal
1387,1362,8,20560,1,1,4,5,145,At Risk
1388,686,6,16744,1,3,3,4,334,At Risk
1389,834,3,5785,1,3,1,1,311,Others
1390,1424,3,6938,1,1,1,1,111,Lost
1391,953,11,25151,1,2,5,5,255,At Risk
1392,264,11,15222,0,4,5,4,454,Loyal
1393,308,8,19186,0,4,4,4,444,Loyal
1394,1118,7,22518,1,2,3,5,235,At Risk
1395,1117,7,14116,1,2,3,3,233,At Risk
1396,191,7,6330,0,4,3,1,431,Loyal
1397,632,9,13361,1,3,5,3,353,At Risk
1398,1501,5,3327,1,1,2,1,121,Lost
1399,1328,4,11870,1,2,1,3,213,Lost
1400,890,7,18011,1,3,3,4,334,At Risk
1401,437,8,12991,1,4,4,3,443,Loyal
1402,367,8,7491,1,4,4,1,441,Loyal
1403,-315,3,4125,0,5,1,1,511,Loyal
1404,1232,7,10649,1,2,3,2,232,At Risk
1405,1983,9,18738,1,1,5,4,154,At Risk
1406,1250,12,24681,1,2,5,5,255,At Risk
1407,947,9,27054,1,2,5,5,255,At Risk
1408,587,10,14804,1,3,5,4,354,At Risk
1409,1479,6,5213,1,1,3,1,131,At Risk
1410,1402,5,5661,1,1,2,1,121,Lost
1411,1245,11,21810,1,2,5,5,255,At Risk
1412,1252,6,8720,1,2,3,2,232,At Risk
1413,1161,3,5342,1,2,1,1,211,Lost
1414,66,10,16594,0,5,5,4,554,VIP
1415,166,9,24684,0,4,5,5,455,Loyal
1416,1254,7,10918,1,2,3,3,233,At Risk
1417,1194,4,6867,1,2,1,1,211,Lost
1418,-36,4,10151,0,5,1,2,512,Loyal
1419,817,9,14186,1,3,5,3,353,At Risk
1420,339,5,11587,0,4,2,3,423,Loyal
1421,786,4,8994,1,3,1,2,312,Others
1422,692,5,10531,1,3,2,2,322,Others
1423,-231,7,8044,0,5,3,2,532,Loyal
1424,1093,6,17533,1,2,3,4,234,At Risk
1425,263,8,29324,0,4,4,5,445,Loyal
1426,-227,11,22072,0,5,5,5,555,VIP
1427,1652,9,10937,1,1,5,3,153,At Risk
1428,1406,8,16174,1,1,4,4,144,At Risk
1429,871,6,16454,1,3,3,4,334,At Risk
1430,1369,6,9231,1,1,3,2,132,At Risk
1431,1076,7,13323,1,2,3,3,233,At Risk
1432,1022,7,15788,1,2,3,4,234,At Risk
1433,569,4,11609,1,3,1,3,313,Others
1434,701,8,20652,1,3,4,5,345,At Risk
1435,-254,5,13063,0,5,2,3,523,Loyal
1436,1105,8,13442,1,2,4,3,243,At Risk
1437,1564,7,16110,1,1,3,4,134,At Risk
1438,1001,8,11668,1,2,4,3,243,At Risk
1439,-145,5,13170,0,5,2,3,523,Loyal
1440,158,4,11453,0,4,1,3,413,Loyal
1441,88,5,12075,0,5,2,3,523,Loyal
1442,1604,7,12071,1,1,3,3,133,At Risk
1443,1342,6,11083,1,1,3,3,133,At Risk
1444,691,6,20129,1,3,3,4,334,At Risk
1445,603,13,22580,1,3,5,5,355,At Risk
1446,283,7,19512,0,4,3,4,434,Loyal
1447,738,5,11270,1,3,2,3,323,Others
1448,630,7,12245,1,3,3,3,333,At Risk
1449,99,7,6940,0,5,3,1,531,Loyal
1450,467,10,21587,1,4,5,5,455,Loyal
1451,452,10,20683,1,4,5,5,455,Loyal
1452,975,6,20129,1,2,3,4,234,At Risk
1453,1759,8,10838,1,1,4,3,143,At Risk
1454,733,11,40931,1,3,5,5,355,At Risk
1455,891,3,6852,1,2,1,1,211,Lost
1456,1230,6,13700,1,2,3,3,233,At Risk
1457,-10,6,9331,0,5,3,2,532,Loyal
1458,803,6,13416,1,3,3,3,333,At Risk
1459,1555,8,18838,1,1,4,4,144,At Risk
1460,954,5,13514,1,2,2,3,223,Lost
1461,1528,8,10130,1,1,4,2,142,At Risk
1462,-92,5,15275,0,5,2,4,524,Loyal
1463,1782,9,20439,1,1,5,5,155,At Risk
1464,216,6,14737,0,4,3,4,434,Loyal
1465,1408,8,14674,1,1,4,4,144,At Risk
1466,-374,6,7823,0,5,3,2,532,Loyal
1467,1361,9,18490,1,1,5,4,154,At Risk
1468,631,6,12842,1,3,3,3,333,At Risk
1469,392,4,3843,1,4,1,1,411,Loyal
1470,-659,9,23354,0,5,5,5,555,VIP
1471,403,13,35716,1,4,5,5,455,Loyal
1472,970,11,15980,1,2,5,4,254,At Risk
1473,656,4,4932,1,3,1,1,311,Others
1474,1301,4,7091,1,2,1,1,211,Lost
1475,1546,10,20179,1,1,5,4,154,At Risk
1476,882,8,14414,1,3,4,4,344,At Risk
1477,880,5,9771,1,3,2,2,322,Others
1478,1885,6,12996,1,1,3,3,133,At Risk
1479,1060,4,3895,1,2,1,1,211,Lost
1480,214,5,5300,0,4,2,1,421,Loyal
1481,738,6,500,1,3,3,1,331,At Risk
1482,1527,5,13534,1,1,2,3,123,Lost
1483,1268,5,10057,1,2,2,2,222,Lost
1484,1499,9,25072,1,1,5,5,155,At Risk
1485,1116,8,9173,1,2,4,2,242,At Risk
1486,-283,5,10091,0,5,2,2,522,Loyal
1487,205,6,12966,0,4,3,3,433,Loyal
1488,978,7,11050,1,2,4,3,243,At Risk
1489,1316,5,4174,1,2,2,1,221,Lost
1490,197,4,13237,0,4,1,3,413,Loyal
1491,323,8,24395,0,4,4,5,445,Loyal
1492,814,10,17135,1,3,5,4,354,At Risk
1493,799,10,23826,1,3,5,5,355,At Risk
1494,-413,8,13091,0,5,4,3,543,VIP
1495,306,8,10027,0,4,4,2,442,Loyal
1496,394,8,26963,1,4,4,5,445,Loyal
1497,791,10,7584,1,3,5,1,351,At Risk
1498,611,7,12501,1,3,4,3,343,At Risk
1499,-22,4,8252,0,5,1,2,512,Loyal
1500,634,8,25907,1,3,4,5,345,At Risk
